Sex1,Date,YEAR,side,Location,ID,QRATE,Date1,Date2,Month,Month1
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,25,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,24,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,29,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
MM,1989-07-24,1989,Left,Gully,21,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,25,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,25,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,41,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,25,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,32,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,25,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,29,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,26,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Left,Gully,13,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,22,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,32,3,1989-07-24,1989-07-24,7,Jul
UNK,1989-07-24,1989,Right,Gully,13,3,1989-07-24,1989-07-24,7,Jul
