ID,ID.side,Sex,Sex1,YEAR1,YEARLAST,ANIMAL_YRS,N
1334,1334-LEFT,UNK,UNK,1997,1999,2,6
1334,1334-RIGHT,UNK,UNK,1998,1999,1,4
1335,1335-RIGHT,UNK,UNK,1996,1997,1,4
1336,1336-LEFT,Female,UNK,1994,2021,27,2
1336,1336-LEFT,FemaleJ,Female,1994,2021,27,11
1336,1336-RIGHT,FemaleJ,Female,1994,2011,17,7
1337,1337-LEFT,UNK,UNK,1997,1998,1,8
1337,1337-RIGHT,UNK,UNK,1998,1998,0,4
134,134-LEFT,UNK,UNK,1989,1990,1,4
134,134-RIGHT,UNK,UNK,1990,1990,0,1
1344,1344-LEFT,UNK,UNK,1997,1997,0,2
1344,1344-RIGHT,UNK,UNK,1997,1997,0,2
1345,1345-LEFT,MaleM,UNK,1997,1997,0,3
1345,1345-RIGHT,MaleM,UNK,1997,1997,0,2
1346,1346-LEFT,UNK,UNK,1997,1997,0,1
1348,1348-RIGHT,UNK,UNK,1997,1997,0,1
135,135-LEFT,UNK,UNK,1989,1989,0,1
1350,1350-RIGHT,UNK,UNK,1997,1997,0,1
1351,1351-RIGHT,UNK,UNK,1997,1997,0,3
1354,1354-LEFT,UNK,UNK,1997,1997,0,2
1357,1357-LEFT,UNK,UNK,1997,1997,0,3
1358,1358-LEFT,UNK,UNK,1997,1998,1,5
1362,1362-RIGHT,UNK,UNK,1997,1997,0,3
1364,1364-LEFT,UNK,UNK,1997,2016,19,19
1364,1364-RIGHT,UNK,UNK,1997,2002,5,7
1369,1369-LEFT,UNK,UNK,1997,1997,0,2
137,137-RIGHT,UNK,UNK,1989,1989,0,1
1370,1370-LEFT,UNK,UNK,1997,1997,0,1
138,138-RIGHT,UNK,UNK,1989,1989,0,1
14,14-RIGHT,UNK,UNK,1989,1989,0,1
1404,1404-LEFT,UNK,UNK,1998,1998,0,6
1404,1404-RIGHT,UNK,UNK,1998,1998,0,2
141,141-RIGHT,UNK,UNK,1989,1989,0,3
1410,1410-RIGHT,UNK,UNK,1998,1998,0,3
1414,1414-LEFT,UNK,UNK,1998,1998,0,4
1417,1417-RIGHT,UNK,UNK,1998,1998,0,5
1418,1418-RIGHT,UNK,UNK,1998,1998,0,4
1420,1420-RIGHT,UNK,UNK,1998,1998,0,1
1422,1422-LEFT,UNK,UNK,1998,1998,0,2
1422,1422-RIGHT,UNK,UNK,1998,1998,0,5
1424,1424-LEFT,MaleM,UNK,1998,1998,0,5
1424,1424-RIGHT,MaleM,UNK,1998,1998,0,5
1426,1426-LEFT,UNK,UNK,1998,1998,0,2
1426,1426-RIGHT,UNK,UNK,1998,1998,0,3
1429,1429-LEFT,UNK,UNK,1998,1998,0,2
143,143-LEFT,UNK,UNK,1990,2006,16,5
143,143-RIGHT,UNK,UNK,1997,1997,0,1
1435,1435-LEFT,UNK,UNK,1998,1998,0,3
1435,1435-RIGHT,UNK,UNK,1998,1998,0,3
1436,1436-RIGHT,UNK,UNK,1998,1998,0,2
1438,1438-LEFT,UNK,UNK,1998,1999,1,6
144,144-LEFT,UNK,UNK,1989,1989,0,1
1442,1442-RIGHT,UNK,UNK,1998,1998,0,3
1445,1445-LEFT,UNK,UNK,1998,1998,0,3
145,145-RIGHT,UNK,UNK,1989,1989,0,1
1450,1450-RIGHT,UNK,UNK,1998,1998,0,5
1451,1451-RIGHT,UNK,UNK,1998,1998,0,5
1452,1452-LEFT,UNK,UNK,1998,1998,0,3
1458,1458-LEFT,MaleM,UNK,1998,2016,18,25
146,146-LEFT,UNK,UNK,1989,1989,0,2
1461,1461-RIGHT,MaleM,UNK,1998,1999,1,8
1466,1466-RIGHT,UNK,UNK,1998,1998,0,2
1469,1469-LEFT,UNK,UNK,1998,1999,1,6
1469,1469-RIGHT,UNK,UNK,1998,1999,1,8
1470,1470-LEFT,UNK,UNK,1998,2003,5,11
1470,1470-RIGHT,UNK,UNK,1998,1998,0,2
1472,1472-LEFT,UNK,UNK,1998,1999,1,8
1472,1472-RIGHT,UNK,UNK,1998,1999,1,10
1473,1473-LEFT,UNK,UNK,1998,1998,0,2
1479,1479-LEFT,UNK,UNK,1998,1998,0,1
1488,1488-LEFT,UNK,UNK,1998,1998,0,2
149,149-LEFT,UNK,UNK,1989,1989,0,1
1493,1493-LEFT,UNK,UNK,1998,1999,1,3
1496,1496-RIGHT,UNK,UNK,1998,1998,0,2
1497,1497-RIGHT,UNK,UNK,1998,1998,0,1
15,15-LEFT,MaleM,UNK,1989,1990,1,4
15,15-RIGHT,MaleM,UNK,1989,1989,0,3
150,150-LEFT,UNK,UNK,1989,1989,0,1
1500,1500-LEFT,UNK,UNK,1998,1998,0,2
1501,1501-LEFT,UNK,UNK,1998,1998,0,2
1501,1501-RIGHT,UNK,UNK,1998,1998,0,2
1503,1503-RIGHT,UNK,UNK,1998,1998,0,2
1504,1504-LEFT,UNK,UNK,1998,1998,0,2
1505,1505-LEFT,UNK,UNK,1998,1998,0,3
1507,1507-RIGHT,UNK,UNK,1998,1998,0,3
151,151-LEFT,UNK,UNK,1989,1989,0,3
151,151-RIGHT,UNK,UNK,1989,1989,0,2
1510,1510-RIGHT,UNK,UNK,1998,1998,0,3
1512,1512-LEFT,UNK,UNK,1998,2002,4,4
1512,1512-RIGHT,UNK,UNK,1998,2002,4,4
1513,1513-LEFT,UNK,UNK,1998,1998,0,2
1515,1515-LEFT,UNK,UNK,1998,1998,0,1
152,152-LEFT,UNK,UNK,1989,1990,1,6
152,152-RIGHT,UNK,UNK,1989,1990,1,6
153,153-RIGHT,UNK,UNK,1989,1990,1,5
156,156-LEFT,UNK,UNK,1989,1990,1,4
158,158-LEFT,UNK,UNK,1990,1990,0,1
159,159-LEFT,UNK,UNK,1989,1997,8,11
159,159-RIGHT,UNK,UNK,1989,1998,9,9
16,16-LEFT,MaleM,UNK,1990,2011,21,10
16,16-RIGHT,MaleM,UNK,1990,2011,21,13
1602,1602-RIGHT,UNK,UNK,1999,1999,0,3
1605,1605-RIGHT,UNK,UNK,1999,1999,0,2
1618,1618-RIGHT,UNK,UNK,1999,1999,0,5
162,162-LEFT,Female,UNK,1989,2021,32,3
162,162-LEFT,FemaleJ,Female,1989,2021,32,19
162,162-RIGHT,Female,UNK,1989,2021,32,4
162,162-RIGHT,FemaleJ,Female,1989,2021,32,9
1621,1621-RIGHT,UNK,UNK,1999,1999,0,2
1622,1622-LEFT,UNK,UNK,1999,1999,0,3
1623,1623-LEFT,UNK,UNK,1999,1999,0,2
