"ID","side","Sex","Year_rel","count"
"1930","Left","UNK",NA,10
"1930","Right","UNK",NA,8
"1932","Right","UNK",2002,2
"1939","Right","UNK",NA,2
"1942","Left","UNK",NA,1
"1942","Right","UNK",NA,2
"1943","Left","UNK",NA,2
"1943","Right","UNK",NA,3
"1946","Left","UNK",NA,8
"195","Right","UNK",NA,1
"1951","Right","UNK",NA,1
"1956","Left","UNK",NA,1
"1957","Left","UNK",NA,4
"1959","Left","UNK",NA,2
"1960","Right","UNK",NA,1
"1961","Right","UNK",NA,2
"1962","Left","UNK",NA,3
"1964","Left","UNK",NA,2
"1966","Left","MaleM",NA,13
"1967","Right","UNK",NA,10
"1968","Left","UNK",NA,2
"197","Left","UNK",NA,1
"1970","Right","UNK",NA,1
"1971","Right","UNK",NA,2
"1972","Right","UNK",NA,1
"1978","Left","FemaleJ",NA,8
"1980","Left","UNK",NA,2
"1981","Right","UNK",NA,1
"1982","Left","UNK",NA,1
"1983","Right","UNK",NA,1
"1987","Left","UNK",NA,2
"2","Left","UNK",1989,9
"2","Right","UNK",1989,13
"2000","Right","UNK",NA,6
"2008","Left","UNK",NA,11
"2010","Left","UNK",NA,12
"2013","Right","MaleM",NA,13
"2014","Left","UNK",NA,17
"2019","Left","UNK",2002,4
"2019","Right","UNK",2002,4
"2020","Right","UNK",NA,4
"2021","Right","UNK",NA,1
"2022","Left","UNK",NA,1
"2025","Right","UNK",NA,2
"2028","Left","MaleM",2011,76
"2029","Left","UNK",NA,2
"2030","Left","UNK",NA,2
"2032","Right","UNK",NA,2
"2033","Left","UNK",NA,10
"2034","Right","UNK",2002,2
"2036","Right","UNK",NA,2
"2038","Right","UNK",NA,3
"2040","Left","UNK",NA,11
"2041","Left","UNK",2002,24
"2042","Left","UNK",NA,11
"2044","Right","UNK",NA,1
"2048","Left","MaleM",2015,128
"2049","Right","UNK",NA,2
"2052","Left","UNK",NA,1
"2055","Right","UNK",NA,3
"2056","Left","UNK",NA,1
"2062","Right","MaleM",NA,6
"207","Left","UNK",NA,2
"2077","Right","UNK",NA,1
